#{"t_start": 1703123190.9533825, "env_id": "RWA-v0"}
r,l,t,episode_service_blocking_rate,episode_service_accepted
1996.0,5000,2212.552728,0.5798,2101
1859.333333,5000,2227.47295,0.6102,1949
1887.666667,5000,2242.144491,0.605,1975
1873.583333,5000,2256.777333,0.6078,1961
1935.5,5000,2272.175749,0.5942,2029
1953.666667,5000,2286.681667,0.5904,2048
1905.833333,5000,2302.045872,0.6002,1999
1986.0,5000,2316.64483,0.5852,2074
1911.833333,5000,2332.078741,0.602,1990
1968.5,5000,2347.385172,0.5882,2059
1908.5,5000,2362.363573,0.5982,2009
1915.166667,5000,2378.682714,0.601,1995
1894.5,5000,2394.258047,0.6026,1987
1922.166667,5000,2411.93066,0.598,2010
1926.25,5000,2428.294826,0.5956,2022
1931.5,5000,2445.041519,0.5958,2021
1905.5,5000,2460.402604,0.5986,2007
1869.166667,5000,2476.192275,0.6064,1968
1916.5,5000,2491.151649,0.599,2005
1844.5,5000,2506.209514,0.6132,1934
1845.833333,5000,2522.058948,0.6108,1946
1884.833333,5000,2537.330508,0.604,1980
1923.333333,5000,2553.407562,0.595,2025
1913.166667,5000,2569.286996,0.599,2005
1900.75,5000,2585.380607,0.6002,1999
1936.166667,5000,2600.435854,0.5954,2023
1990.666667,5000,2616.856487,0.5836,2082
1893.0,5000,2631.9059,0.6032,1984
1909.5,5000,2647.349939,0.6016,1992
1921.166667,5000,2663.724954,0.5988,2006
2020.25,5000,2679.254632,0.5784,2108
1891.25,5000,2696.033008,0.603,1985
1928.416667,5000,2711.279408,0.5938,2031
1879.166667,5000,2727.386515,0.6054,1973
1898.166667,5000,2742.825596,0.6032,1984
1937.166667,5000,2759.927076,0.594,2030
1898.5,5000,2774.999352,0.6018,1991
1915.916667,5000,2791.274695,0.5994,2003
1863.833333,5000,2807.853664,0.6096,1952
1907.166667,5000,2823.157882,0.6,2000
1884.166667,5000,2839.742362,0.6036,1982
1949.166667,5000,2855.377196,0.592,2040
1885.166667,5000,2871.58122,0.6032,1984
1887.5,5000,2887.083944,0.6066,1967
1806.666667,5000,2902.921346,0.621,1895
1936.166667,5000,2919.138079,0.5938,2031
1906.0,5000,2934.361735,0.6006,1997
1810.333333,5000,2950.993825,0.6202,1899
1958.333333,5000,2966.373144,0.5918,2041
1874.5,5000,2982.951888,0.6066,1967
1899.666667,5000,2998.606951,0.5994,2003
1979.166667,5000,3014.788313,0.5864,2068
1917.5,5000,3030.069426,0.5982,2009
1926.333333,5000,3045.669789,0.597,2015
1885.5,5000,3061.925343,0.605,1975
1911.0,5000,3077.462599,0.5984,2008
1858.833333,5000,3093.512364,0.6102,1949
