#{"t_start": 1703118391.8576486, "env_id": "RWA-v0"}
r,l,t,episode_service_blocking_rate,episode_service_accepted
1974.083333,5000,2110.157563,0.5848,2076
1856.583333,5000,2125.196912,0.6108,1946
1884.5,5000,2139.929386,0.6044,1978
1862.25,5000,2155.004131,0.6094,1953
1879.5,5000,2169.115895,0.6066,1967
1928.0,5000,2184.385865,0.5942,2029
1898.333333,5000,2199.572979,0.6058,1971
1926.666667,5000,2214.511538,0.5956,2022
1888.333333,5000,2229.083322,0.6056,1972
1978.833333,5000,2244.186373,0.5886,2057
1977.0,5000,2259.004457,0.5846,2077
1887.0,5000,2273.244652,0.604,1980
1946.666667,5000,2287.457664,0.5918,2041
1875.333333,5000,2302.200307,0.608,1960
1908.916667,5000,2317.336467,0.599,2005
1974.166667,5000,2332.273162,0.587,2065
1878.166667,5000,2347.061738,0.605,1975
1875.666667,5000,2362.004493,0.6064,1968
1922.5,5000,2377.670058,0.5964,2018
1826.166667,5000,2393.926889,0.6174,1913
1896.416667,5000,2409.856635,0.6016,1992
1898.5,5000,2425.758198,0.6012,1994
1919.166667,5000,2440.989995,0.5988,2006
1905.25,5000,2455.871485,0.6016,1992
1841.833333,5000,2470.342423,0.6132,1934
1888.0,5000,2485.501436,0.6038,1981
1937.75,5000,2500.292992,0.594,2030
1878.0,5000,2515.165107,0.608,1960
1936.833333,5000,2530.559909,0.5962,2019
1923.5,5000,2546.033231,0.5976,2012
2001.25,5000,2561.832964,0.5808,2096
1902.916667,5000,2577.481156,0.6012,1994
1925.5,5000,2593.054105,0.596,2020
1882.166667,5000,2608.897449,0.6076,1962
1929.833333,5000,2624.490649,0.597,2015
1901.833333,5000,2639.524063,0.6016,1992
1925.75,5000,2654.476835,0.5962,2019
1911.0,5000,2670.067357,0.6022,1989
1834.833333,5000,2685.078496,0.615,1925
1934.166667,5000,2700.287845,0.5954,2023
1888.916667,5000,2715.192362,0.6012,1994
1915.416667,5000,2729.623337,0.5988,2006
1885.166667,5000,2743.88808,0.6044,1978
1875.833333,5000,2758.980108,0.608,1960
1841.166667,5000,2774.674203,0.6154,1923
1925.5,5000,2790.639485,0.5962,2019
1907.333333,5000,2806.123456,0.5994,2003
1874.666667,5000,2821.530424,0.6088,1956
1917.166667,5000,2837.278752,0.6,2000
1876.0,5000,2853.687249,0.6074,1963
1931.083333,5000,2868.581317,0.5954,2023
1936.5,5000,2883.235112,0.5962,2019
1878.75,5000,2897.887445,0.6068,1966
1946.916667,5000,2912.486924,0.5916,2042
1900.666667,5000,2927.447133,0.6022,1989
1913.25,5000,2942.853145,0.598,2010
1893.583333,5000,2957.461934,0.6026,1987
